,_id,count,display_url,"function (description, open = """", blocking = TRUE, encoding = getOption(""encoding""), method = getOption(""url.method"", ""default"")) 
{
    method <- match.arg(method, c(""default"", ""internal"", ""libcurl"", ""wininet""))
    .Internal(url(description, open, blocking, encoding, method))
}"
161,https://www.channel4.com/news/afua-hirsch-black-cheddar-man-provoked-emotional-response-in-me,42,https://www.channel4.com/news/afua-hirsch-black-cheddar-man-provoked-emotional-response-in-me,https://www.channel4.com/news/afua-hirsch-black-cheddar-man-provoked-emotional-response-in-me
162,https://twitter.com/BFMTV/status/961544890537693185,42,https://twitter.com/BFMTV/status/961544890537693185,https://twitter.com/BFMTV/status/961544890537693185
163,https://shysociety.co.uk/2018/02/24/cheddar-man-highlights-growing-obsession-skin-colour/,42,https://shysociety.co.uk/2018/02/24/cheddar-man-highlights-growing-obsession-skin-colour/,https://shysociety.co.uk/2018/02/24/cheddar-man-highlights-growing-obsession-skin-colour/
164,http://wef.ch/2EyRmS9,41,http://wef.ch/2EyRmS9,http://wef.ch/2EyRmS9
165,http://bit.ly/2EPc84g,41,http://bit.ly/2EPc84g,http://bit.ly/2EPc84g
166,anonymised,41,anonymised,anonymised
167,http://www.lemonde.fr/sciences/video/2018/02/08/cheddar-man-notre-ancetre-europeen-du-mesolithique-avait-la-peau-noire_5253972_1650684.html,41,http://www.lemonde.fr/sciences/video/2018/02/08/cheddar-man-notre-ancetre-europeen-du-mesolithique-avait-la-peau-noire_5253972_1650684.html,http://www.lemonde.fr/sciences/video/2018/02/08/cheddar-man-notre-ancetre-europeen-du-mesolithique-avait-la-peau-noire_5253972_1650684.html
168,http://www.abc.net.au/news/2018-02-08/cheddar-man-first-britons-had-dark-to-black-skin-dna-research/9406636,41,http://www.abc.net.au/news/2018-02-08/cheddar-man-first-britons-had-dark-to-black-skin-dna-research/9406636,http://www.abc.net.au/news/2018-02-08/cheddar-man-first-britons-had-dark-to-black-skin-dna-research/9406636
169,http://wef.ch/2EoLf2P,40,http://wef.ch/2EoLf2P,http://wef.ch/2EoLf2P
170,http://d.gu.com/QFLP1r,40,http://d.gu.com/QFLP1r,http://d.gu.com/QFLP1r
171,anonymised,40,anonymised,anonymised
172,anonymised,40,anonymised,anonymised
173,anonymised,39,anonymised,anonymised
174,https://twitter.com/guardian/status/961159114155012098,39,https://twitter.com/guardian/status/961159114155012098,https://twitter.com/guardian/status/961159114155012098
175,https://twitter.com/channel4news/status/964556982312226822,39,https://twitter.com/channel4news/status/964556982312226822,https://twitter.com/channel4news/status/964556982312226822
176,anonymised,39,anonymised,anonymised
